Source IP,Destination IP,Protocol,Count,Percentage
10.12.60.241,10.12.255.255,UDP,2,100.0
10.12.60.241,10.6.0.108,UDP,7,100.0
10.12.60.241,104.199.240.237,TCP,1,100.0
10.12.60.241,142.250.193.74,UDP,8,100.0
10.12.60.241,142.250.194.110,ICMP,10,100.0
10.12.60.241,142.250.194.78,ICMP,10,100.0
10.12.60.241,157.240.239.61,TCP,5,100.0
10.12.60.241,162.159.136.234,TCP,4,100.0
10.12.60.241,172.64.149.70,TCP,22,100.0
10.12.60.241,239.255.255.250,UDP,4,100.0
10.12.60.241,35.186.224.13,TCP,8,47.05882352941176
10.12.60.241,35.186.224.13,UDP,9,52.94117647058824
10.12.60.241,35.186.224.35,TCP,10,100.0
10.12.60.241,35.186.224.39,TCP,6,100.0
10.12.60.241,74.125.68.84,TCP,16,100.0
10.6.0.108,10.12.60.241,UDP,7,100.0
104.199.240.237,10.12.60.241,TCP,1,100.0
142.250.193.74,10.12.60.241,UDP,21,100.0
142.250.194.110,10.12.60.241,ICMP,10,100.0
142.250.194.78,10.12.60.241,ICMP,10,100.0
157.240.239.61,10.12.60.241,TCP,5,100.0
162.159.136.234,10.12.60.241,TCP,4,100.0
172.64.149.70,10.12.60.241,TCP,30,100.0
35.186.224.13,10.12.60.241,TCP,6,23.076923076923077
35.186.224.13,10.12.60.241,UDP,20,76.92307692307693
35.186.224.35,10.12.60.241,TCP,10,100.0
35.186.224.39,10.12.60.241,TCP,6,100.0
74.125.68.84,10.12.60.241,TCP,16,100.0
